city,gini,Area,freeman_centralization,founding century,continent,violent crime,property crime,entropy,crime,cv,structure,Population
lima,0.937820370590842,648.0,0.018729347037524106,16.0,South America,,,0.68421474292504481,65.31,0.082938622516738641,unplanned,9121000.0
sarajevo,0.89505078534259652,67.0,0.0086281171682631545,15.0,Europe,,,0.74963065348376667,,0.064274149201737435,unplanned,350000.0
strasbourg,0.97777058442053266,222.0,0.0065388878186160345,13.0,Europe,,,0.60565913244651537,,0.089746273005317928,unplanned,427000.0
kabul,0.93011602358952439,259.0,0.013926008345132699,16.0,Asia,,,0.71210695202346752,,0.067713097280939202,unplanned,3327000.0
montpellier,0.98321916708590951,311.0,0.0051291647187743745,8.0,Europe,,,0.55586437434399971,,0.11443563520348457,unplanned,384000.0
barcelona,0.9645486307095249,803.0,0.0057736422878014049,0.0,Europe,,,0.65728095330533554,41.47,0.066831977941048407,partly,4223000.0
istanbul,0.98946863960131215,1399.0,0.0024438310982007566,7.0,Asia,,,0.59327176780609503,42.36,0.060213015369374158,unplanned,13576000.0
brussels,0.97123340295475757,751.0,0.009188038291525244,10.0,Europe,,,0.63583270323025221,53.79,0.076880477523187066,unplanned,1929000.0
new-delhi,0.9468499787879977,1943.0,0.004464312627013271,20.0,Asia,,,0.72107150219503147,52.56,0.042275871695958457,planned,22242000.0
buenos-aires,0.91030533225653187,2642.0,0.02021669081897778,16.0,South America,,,0.74981724225965185,59.46,0.047966451539091785,partly,13639000.0
victoria,0.78326092576931838,277.0,0.033846624371576026,19.0,North America,,,0.82460428759393001,42.45,0.058784790597470556,unplanned,316000.0
baghdad,0.96564832672242584,596.0,0.0052503180090608245,8.0,Asia,,,0.68846659973351187,56.25,0.043956645293531223,planned,6204000.0
bengaluru,0.94547019729540605,,0.005924631287932974,16.0,Asia,,,0.72413990150765795,51.03,0.041505056712080247,unplanned,
krakow,0.9661119318387732,220.0,0.0049211087066728465,13.0,Europe,,,0.6655029284562195,32.86,0.061727663919217607,unplanned,760000.0
shanghai,0.97718838663540952,3497.0,0.004252126842900595,13.0,Asia,,,0.63236911750202873,16.51,0.062577480009456635,unplanned,20860000.0
copenhagen,0.86199158881200511,453.0,0.0074412914357745094,12.0,Europe,,,0.80481145223733719,32.39,0.035706787352652883,unplanned,1181000.0
curitiba-brazil,0.94657371247679767,842.0,0.01252404441030059,17.0,South America,,,0.70270846803610021,46.27,0.052381800753237125,planned,3195000.0
nairobi,0.95509691853356549,466.0,0.0088554370679787379,19.0,Africa,,,0.67138412972902584,71.88,0.075485150061877948,unplanned,3479000.0
milwaukee,0.92934733639884526,1414.0,0.011106175152707893,19.0,North America,6661.0,34892.0,0.73340769835956687,,0.047608237752516346,unplanned,1385000.0
cleveland,0.85554423985707029,1999.0,0.01924665999149849,18.0,North America,5994.0,24206.0,0.80777918416021077,,0.037744964114689819,unplanned,1765000.0
seattle,0.91885443747666806,2616.0,0.013402441638353886,19.0,North America,3861.0,35090.0,0.73359930823652231,42.03,0.051565897169797481,unplanned,3127000.0
reykjavik,0.94575286161555971,80.0,0.0043968672633504565,18.0,Europe,,,0.71827758869254954,23.52,0.045845765075186867,unplanned,185000.0
port-au-prince,0.9473044769854303,171.0,0.0091066019016923811,18.0,North America,,,0.69824872421819961,,0.059714677565098746,unplanned,2266000.0
sydney,0.9838479459573628,1788.0,0.0038331947583585602,18.0,Australia,,,0.62058588629901557,,0.055974611878345182,unplanned,3785000.0
cairo,0.92985300347945377,1658.0,0.025288768331848666,1.0,Africa,,,0.69586903767092678,48.81,0.08309824925673534,unplanned,14718000.0
edinburgh,0.94230800850444441,120.0,0.0038720991271307048,11.0,Europe,,,0.71366639673567722,30.51,0.051894543671482732,unplanned,421000.0
abu-dhabi,0.93805662957251812,1230.0,0.0047886048589496251,19.0,Asia,,,0.72958207813220743,10.86,0.044079998732016061,unplanned,3244000.0
san-francisco,0.89383915992477903,,0.026884122773099081,18.0,North America,5957.0,34509.0,0.75629348934168295,32.25,0.053620872960086663,partly,
sao-paulo,0.98340367891961422,3173.0,0.0027100200275091981,16.0,South America,,,0.63501971010215974,66.31,0.050341284906591101,unplanned,20186000.0
atlanta,0.89551164735564104,6851.0,0.0053008152348695894,19.0,North America,6359.0,34349.0,0.78009114438534688,56.04,0.03587078928833265,unplanned,4715000.0
newcastle,0.96765229702373612,211.0,0.0052588772228651243,2.0,Europe,,,0.65031662460963002,49.22,0.070402410076952818,unplanned,892000.0
pittsburgh,0.9129643991000983,2344.0,0.0075946403592928261,18.0,North America,3087.0,11775.0,0.76595346780913542,41.67,0.036299884462083931,partly,1717000.0
montreal,0.94840695056728952,1546.0,0.0081413652443255869,17.0,North America,,,0.72611021764156614,31.63,0.036732493368203945,unplanned,3429000.0
houston,0.93801238514889862,4644.0,0.0034240973175789532,19.0,North America,25593.0,120933.0,0.76734339372169014,61.72,0.020837989025062755,partly,5383000.0
athens,0.93587528702750489,684.0,0.01285773781713973,0.0,Europe,,,0.7242560180577573,57.49,0.050668582106620084,unplanned,3269000.0
birmingham,0.98426013073753604,600.0,0.003436678458429732,7.0,Europe,,,0.6105738489867979,47.51,0.067002417541191905,unplanned,2294000.0
toulouse,0.99676628622808006,811.0,0.0036351540581288149,0.0,Europe,,,0.41887704673217974,47.27,0.15215550334596159,unplanned,880000.0
manchester,0.9530692525426312,558.0,0.0079869146488761849,1.0,Europe,,,0.69826293730369005,,0.055064067121454521,unplanned,2244000.0
honolulu,0.89560269685214922,440.0,0.019399681754912589,20.0,North America,2537.0,33375.0,0.75806379692345893,,0.055912201992515412,unplanned,804000.0
st-louis,0.90990358940538496,2393.0,0.012829633220488678,18.0,North America,7353.0,29595.0,0.74955497206984989,78.13,0.050219438561577831,unplanned,2172000.0
campo-grande,0.98388407162690661,210.0,0.0097924588958660762,19.0,South America,,,0.54661906283098749,,0.11002155948687811,unplanned,795000.0
karlsruhe,0.96543405602712518,119.0,0.0050452000748081776,18.0,Europe,,,0.67387413728053613,,0.053962382941321121,planned,350000.0
charlotte,0.92092486419783792,1919.0,0.0072262376607046671,19.0,North America,5625.0,38533.0,0.7463716609079466,,0.044928300340281078,unplanned,1309000.0
nazareth,0.80730466697653536,,0.052208657047724753,11.0,Asia,,,0.7709979337864441,,0.11424799732063255,unplanned,
evansville,0.87386939208928471,308.0,0.028244887615678112,19.0,North America,,,0.77380589621538465,,0.05687234807469959,unplanned,229000.0
frankfurt,0.97183579250039764,673.0,0.0037507170078793133,15.0,Europe,,,0.68146510997306775,27.55,0.039712611463313577,unplanned,2300000.0
auckland,0.95709782278231792,544.0,0.0060968091925947872,19.0,,,,0.69529819101361812,50.38,0.051306952817868359,unplanned,1298000.0
cincinnati,0.95789327707283811,2041.0,0.0090230917810594502,18.0,North America,3983.0,20414.0,0.67978383311975765,,0.061586049138859747,unplanned,1625000.0
singapore,0.96070867988180042,466.0,0.0046748677704576752,19.0,Asia,,,0.67895191368579799,19.96,0.057979026894929633,partly,5155000.0
madrid,0.9804662621789374,945.0,0.0043249261219797611,9.0,Europe,,,0.6455575348135314,39.34,0.049169149034284682,unplanned,5427000.0
warsaw,0.96539729722125345,544.0,0.018171284400554672,13.0,Europe,,,0.68475160082743414,32.03,0.045479268732772596,unplanned,1713000.0
porto,0.93418520473136413,389.0,0.020333258508081195,12.0,Europe,,,0.68542632706633499,37.51,0.089347950728468989,unplanned,1491000.0
marseille,0.97162086213394572,1204.0,0.0078541432239240486,0.0,Europe,,,0.63835557137774268,,0.074175374579385792,unplanned,1582000.0
brno,0.95811231919628648,,0.0029836464196583003,10.0,Europe,,,0.6837843018261307,34.68,0.057890147752957005,unplanned,
osaka,0.94272175950988091,,0.015994036513947995,7.0,Asia,,,0.67811972266540665,,0.08134807473209095,unplanned,
mumbai,0.95570630130760714,546.0,0.022964430863792972,14.0,Asia,,,0.66657123659336104,34.63,0.077462500752205329,partly,16910000.0
santo-domingo,0.89065674810871587,246.0,0.017895244594204749,15.0,North America,,,0.77236116561680357,,0.046353288744455774,unplanned,2221000.0
manila,0.95893825145804434,1437.0,0.012880155111552723,16.0,Asia,,,0.6456160069944934,66.36,0.087132797411850538,planned,20767000.0
